id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4643225,Your perfect stay!!,24039555,Cristina,,Barra da Tijuca,-23.00841,-43.34284,Entire home/apt,913,7,4,2019-07-19,0.06,1,296
4643273,"❤ Studio-1 Copacabana Ipanema, Near Beach & Subway",22296412,J Renato,,Copacabana,-22.9833,-43.19304,Entire home/apt,107,14,141,2021-01-13,1.85,4,109
4647627,"IPANEMA , CONFORTABLE E COZY",3376172,Ricardo,,Ipanema,-22.98345,-43.19623,Entire home/apt,244,2,54,2020-11-01,0.78,2,301
4648539,Great Location in Leblon,24065161,Lisia,,Lagoa,-22.97306,-43.21529,Entire home/apt,220,3,68,2018-09-08,0.98,1,1
4649761,Praia de Botafogo 340 - Apartamento,15739176,Nereida,,Botafogo,-22.94583,-43.18272,Entire home/apt,95,7,87,2021-02-28,1.40,1,56
4658455,Apartamento Quarto-Sala - Bairro: Flamengo.,24108088,Ana,,Flamengo,-22.93832,-43.17864,Entire home/apt,110,3,8,2020-03-01,0.11,1,305
4658490,QUIET and COMFORT-100 m away from the beach,2919803,Felipe,,Copacabana,-22.97372,-43.18775,Entire home/apt,133,2,20,2019-10-07,0.28,28,80
4662072,CHARM! NEXT BARRA DA TIJUCA,23848768,Ana Paula,,Freguesia (Jacarepaguá),-22.95241,-43.34638,Entire home/apt,551,1,1,2016-08-19,0.02,1,365
4665337,Welcome to Copacabana & Rio!,13404881,Freddy,,Copacabana,-22.97428,-43.1873,Entire home/apt,150,4,167,2021-03-11,2.20,1,81
4667880,loft em botafogo,966047,Lucia,,Botafogo,-22.95531,-43.18894,Entire home/apt,186,3,14,2020-02-28,0.19,1,335
4667913,Nice place to stay,24149940,Paula,,Leblon,-22.98262,-43.22493,Entire home/apt,1100,3,0,,,1,365
4676945,Quarto casal  em Copacabana,11600570,Beth,,Copacabana,-22.97475,-43.18741,Entire home/apt,450,2,0,,,4,365
4677957,"Penthouse 4 BR Copacabana, 250m²",6785488,Paul,,Copacabana,-22.96461,-43.17538,Entire home/apt,1000,4,6,2017-10-08,0.08,8,264
4681896,A house with a mango tree.,24212366,Guido,,Cosme Velho,-22.94277,-43.19854,Entire home/apt,301,3,7,2020-03-01,0.11,1,83
4683085,CHARMING FLAT ART DECO IN COPACABANA BEACH,21650390,Janine,,Copacabana,-22.97404,-43.1886,Entire home/apt,300,2,79,2020-11-02,1.03,2,86
4685707,Cool Design Apartment in Copacabana,10743059,Serge,,Copacabana,-22.97909,-43.1907,Entire home/apt,544,6,4,2019-03-06,0.06,1,173
4687679,casinha de vila no jardim botanico,24236206,Carolina,,Jardim Botânico,-22.96663,-43.23158,Entire home/apt,300,1,0,,,1,365
4687900,Ideal for your family to relax in Rio!,1621813,Cecilia,,Laranjeiras,-22.93916,-43.19355,Entire home/apt,450,3,13,2020-01-03,0.20,1,0
4705601,Copacabana 3 quartos  varanda vista  mar e garagem,16545585,Celia,,Copacabana,-22.97329,-43.18791,Entire home/apt,445,3,7,2020-11-02,0.10,10,305
4709059,Perfect stay in Rio - 5 min beach,24338359,Angela,,Recreio dos Bandeirantes,-23.02735,-43.50712,Entire home/apt,4020,3,0,,,1,365
4709316,"Copacabana, 2 Blocks Near the Beach",22132374,Sonia,,Copacabana,-22.96403,-43.17426,Entire home/apt,137,2,44,2020-09-08,0.59,1,21
4710269,Quarto e sala no Centro do Rio,9998948,Viviane,,Centro,-22.91592,-43.18796,Entire home/apt,93,3,9,2019-12-31,0.38,1,0
4712987,Belo Studio at Botafogo Bay,13731131,,,Botafogo,-22.94491,-43.18247,Entire home/apt,120,3,100,2021-02-05,1.42,3,359
4715796,Ipanema Nascimento Silva,5615480,Andrea,,Ipanema,-22.98216,-43.20209,Entire home/apt,445,3,74,2021-02-22,1.03,15,333
